minute,pairs
409260,110321
410400,110172
411840,111005
412860,109948
413280,110013
414720,111384
416160,112274
417600,114347
419040,115318
420480,116167
421920,118051
423360,118378
423720,118122
424800,118621
426240,118941
427680,119935
429120,120967
430560,121512
432000,121099
432960,120223
433020,119807
433080,119484
433440,119710
434880,120337
436320,121106
437760,121511
437880,121354
438000,121351
439080,122236
439200,122218
439320,122229
439440,122299
439500,122327
439560,122367
440640,122824
440820,122716
442080,124312
443520,126972
444960,125918
446400,125795
447840,124540
447960,124535
449280,123875
450720,122992
452160,122808
453600,122407
455040,125254
456480,124839
457920,123576
459360,122635
459960,122899
460800,122309
462240,122306
463680,122357
465120,123006
466560,122713
467640,122547
468000,120858
469440,119802
470880,119244
472320,118843
473760,116848
475200,117079
476340,117016
476640,117076
478080,117323
479520,116828
480960,117836
482400,117467
483840,117951
485280,115136
486720,115021
488160,115081
489600,114642
491040,113535
492480,113684
493920,112454
495360,111606
496800,110713
498240,111456
499680,113641
501120,114149
502560,114265
504000,114166
505440,114051
506880,114691
508320,115223
509760,115573
0510000,115370
0511200,115416
0511260,115312
0512640,114616
0514080,114349
0515520,112369
0516960,112376
0518400,113191
0519840,115285
0521280,118513
0522720,119437
0524160,121597
0525600,120626
0527040,122144
0528480,123202
0529920,122780
0531360,122923
0532800,122993
0534240,124374
0535680,125160
0537120,124726
0538560,125784
0540000,125463
0541440,125852
0542880,126964
0544320,128512
0545760,131706
0547200,132628
0548640,132440
0550080,132180
0551520,130260
0552960,130284
0554400,129988
0555840,131243
0557280,130677
0558720,130373
0560160,129433
0561600,129020
0563040,129685
0564480,129471
0565920,128893
0567360,128145
0568800,126997
0570240,127243
0571680,126512
0572040,126549
0573120,127831
0574560,127034
0576000,125608
0577440,124828
0578880,126305
0580320,125698
0580800,125663
0581760,126294
0583020,125160
0583200,125309
0584640,125330
0586080,125333
0587520,123901
0588960,123740
0590400,123218
0591840,123305
0593160,123085
0593280,122591
0594720,123941
0596160,125795
0597600,127389
0599040,127353
0600480,127336
0601920,127690
